ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00193,0.65270961,0.645523812,0.656418965,0.655435239,0.661359422,0.651832896,0.635494498,0.62911877,0.63740856,0.646820613
Sub00194,0.627896009,0.602245455,0.60877057,0.614205161,0.613008477,0.605918156,0.58793731,0.576099746,0.585253317,0.597669065
Sub00195,0.667745419,0.64694622,0.65289565,0.657392069,0.654610656,0.644183682,0.631533162,0.623811556,0.640481592,0.669314002
Sub00196,0.638349717,0.620843696,0.629958965,0.635841761,0.634902015,0.6255354,0.612197893,0.607151973,0.618007461,0.624434685
Sub00197,0.707599167,0.672377462,0.664920255,0.662346406,0.671615516,0.667724548,0.654478649,0.642883497,0.649953423,0.65040061
Sub00198,0.665214997,0.649785912,0.656417393,0.656149826,0.654891878,0.643699664,0.629128287,0.610999384,0.621162687,0.633452527
Sub00199,0.671158214,0.647861582,0.646504523,0.654101846,0.662134282,0.652572267,0.636041522,0.629981941,0.640312898,0.65317387
Sub00200,0.756501436,0.727116463,0.717286788,0.726875024,0.721179269,0.69694254,0.681993339,0.673970114,0.646450881,0.572634934
Sub00201,0.622595083,0.607703834,0.61911821,0.630359076,0.635279163,0.624695106,0.613801738,0.609356288,0.622589868,0.631011577
Sub00202,0.632799703,0.628271777,0.638175664,0.641054194,0.647249138,0.633478975,0.617328248,0.609121467,0.621966619,0.636947977
Sub00203,0.633044262,0.612873162,0.623222817,0.626887815,0.632593231,0.620359712,0.599335208,0.593372298,0.598402823,0.612956926
Sub00204,0.656793116,0.639772641,0.649252427,0.65019237,0.653947041,0.640532492,0.619321918,0.605308358,0.596132839,0.580393217
Sub00205,0.6523793,0.627590485,0.627404537,0.631715024,0.637326001,0.633069752,0.615155617,0.605319706,0.617577339,0.629160635
Sub00206,0.683870291,0.672293462,0.672328796,0.674230765,0.67756917,0.661755608,0.644155211,0.635055614,0.645304279,0.650251536
Sub00207,0.632435202,0.60255611,0.615470709,0.627460799,0.64453884,0.63978286,0.631257165,0.629822456,0.634548651,0.651336724
Sub00208,0.679561384,0.654017659,0.652758639,0.657940084,0.662874547,0.656066891,0.647026316,0.639278225,0.646441907,0.660438263
Sub00209,0.656248161,0.646076589,0.652790415,0.660742345,0.665946992,0.653847024,0.636708059,0.626883813,0.643712376,0.657314185
Sub00210,0.699199329,0.680277087,0.684147236,0.68626943,0.681372788,0.659351116,0.633968911,0.618842976,0.622427209,0.63245863
Sub00211,0.646665339,0.623683494,0.624509083,0.63252195,0.638597587,0.631156623,0.614927761,0.6064961,0.613966821,0.624302235
Sub00212,0.615736088,0.601631126,0.602307009,0.602016219,0.608680443,0.609132845,0.589957434,0.578130614,0.576623429,0.561260648
Sub00213,0.71260453,0.697376742,0.693023972,0.697722969,0.698400716,0.692541755,0.678636504,0.663527131,0.664240274,0.668806635
Sub00214,0.841238172,0.829547152,0.82666358,0.799096189,0.777039483,0.746438175,0.717479498,0.693713039,0.699544118,0.713216619
Sub00215,0.642625042,0.625087597,0.620452067,0.626065548,0.629001985,0.616837023,0.599429936,0.592005103,0.600510083,0.611239273
Sub00216,0.680485816,0.658346185,0.656062567,0.654821004,0.65526569,0.650077406,0.634469062,0.625239161,0.638991873,0.650125346
Sub00217,0.643312657,0.62474962,0.61720486,0.62877014,0.642349753,0.637703628,0.620006391,0.607013366,0.608868445,0.62102844
Sub00218,0.633499098,0.617066806,0.617693749,0.621193133,0.623550241,0.612631731,0.596602295,0.586705761,0.600504307,0.618084561
Sub00219,0.615462518,0.60666981,0.619945616,0.62052827,0.620709565,0.610803254,0.597163087,0.58557582,0.599176603,0.618046107
Sub00220,0.680274527,0.641719853,0.642294626,0.646926001,0.652385742,0.645829364,0.627808127,0.613687927,0.616244579,0.630377643
Sub00221,0.646151928,0.623171396,0.622199157,0.622088048,0.62004213,0.602645115,0.590771673,0.584539222,0.597876197,0.614157747
Sub00222,0.647069956,0.64094255,0.636621974,0.645268384,0.645608194,0.642480502,0.629325318,0.620453827,0.629020888,0.625745955
Sub00223,0.708412011,0.688707809,0.697436203,0.700250502,0.702721018,0.69044593,0.667563124,0.651466431,0.662578993,0.682858372
Sub00224,0.703416028,0.681267175,0.684814379,0.685715013,0.681925809,0.665107592,0.647369141,0.636581861,0.645829943,0.666118086
Sub00225,0.682620298,0.667119262,0.672580971,0.663493081,0.659470441,0.636933443,0.620297657,0.616907014,0.631332015,0.654225588
Sub00226,0.664852451,0.644158694,0.649123858,0.657891583,0.65907879,0.646629613,0.629613421,0.618810355,0.627003889,0.636731071
Sub00227,0.68508769,0.662670597,0.651074143,0.655611132,0.660700017,0.649120068,0.630653573,0.621699582,0.629058005,0.635657647
Sub00228,0.618252302,0.608028562,0.612938723,0.615083893,0.616820239,0.599998649,0.587340831,0.580566888,0.597033236,0.606713639
Sub00229,0.584658352,0.567927248,0.581398947,0.589587505,0.595495684,0.58351342,0.567470174,0.55505935,0.556299281,0.569733685
Sub00230,0.633938282,0.609013275,0.620008135,0.629760231,0.641030547,0.634800155,0.623400307,0.619846304,0.625575485,0.63018371
Sub00231,0.720263153,0.716706616,0.724212744,0.72417579,0.710875486,0.684647365,0.644135153,0.60761784,0.576961014,0.526744713
Sub00232,0.616717216,0.618415061,0.60399598,0.596547198,0.599285423,0.58831874,0.558744596,0.540511503,0.515678457,0.421815499
Sub00233,0.699656299,0.671504283,0.660111866,0.651985641,0.649147487,0.635704728,0.608664328,0.595142589,0.608443788,0.624956672
Sub00234,0.660696558,0.657135484,0.670828257,0.682586622,0.696082403,0.694160478,0.675293532,0.658563015,0.656521501,0.661318932
Sub00235,0.656470946,0.635689211,0.634375395,0.639165044,0.640876208,0.63891139,0.634317492,0.623567143,0.625620855,0.630048953
Sub00236,0.659906118,0.650573515,0.656592731,0.661671094,0.658658263,0.639390469,0.619235267,0.617159828,0.630187621,0.63757646
Sub00237,0.649153559,0.613311595,0.610863985,0.617805338,0.622381121,0.619652795,0.604061294,0.596973078,0.600070688,0.615408129
Sub00238,0.678894557,0.652243037,0.64589526,0.644489054,0.644277136,0.631926514,0.611336534,0.6039811,0.61412127,0.635212548
Sub00239,0.684670249,0.667684512,0.670017061,0.667356247,0.660472368,0.646953511,0.629989392,0.62572855,0.63174984,0.63836772
Sub00240,0.673015524,0.655529736,0.660197086,0.666007844,0.663210872,0.643251594,0.625337627,0.610666824,0.595999226,0.541277663
Sub00241,0.594872803,0.588374884,0.603106796,0.620696518,0.630426418,0.62298653,0.605015846,0.59717578,0.603289738,0.617609571
Sub00242,0.660091799,0.637943,0.650677291,0.651026345,0.647889341,0.632329019,0.615775926,0.612728163,0.625179584,0.633083523
Sub00243,0.625211585,0.618506198,0.625904021,0.635802468,0.64979981,0.636514673,0.623405936,0.617193494,0.619806827,0.631086916
Sub00244,0.650860007,0.629788628,0.624698504,0.631323869,0.640431919,0.626768415,0.614476908,0.612739885,0.625483399,0.641563929
Sub00245,0.630753883,0.635680402,0.650224721,0.653905558,0.660574313,0.647979744,0.62987518,0.616876323,0.618884313,0.628793258
Sub00246,0.675574585,0.651106106,0.651941384,0.648683343,0.654862678,0.655715571,0.640259546,0.62661392,0.632526185,0.641790122
Sub00247,0.65190688,0.641518434,0.644487721,0.648114365,0.648125277,0.637037131,0.620067276,0.60960727,0.612722695,0.622679265
Sub00248,0.641811004,0.628430367,0.633664402,0.641333748,0.653941124,0.646545745,0.628974353,0.61887243,0.624133242,0.626131432
Sub00249,0.687091634,0.678741811,0.678101299,0.676934036,0.674930949,0.65680485,0.63658718,0.629745037,0.638670961,0.643914347
Sub00250,0.693213626,0.679941499,0.671690469,0.671324209,0.673151195,0.659437461,0.639238932,0.626559085,0.643199937,0.629875572
Sub00251,0.704110085,0.687833723,0.6867216,0.686792232,0.685753816,0.670997572,0.651651901,0.637156497,0.633444773,0.638311796
Sub00252,0.666286141,0.646594228,0.658210874,0.661056935,0.654748009,0.643344817,0.624215721,0.612791651,0.616803839,0.636100194
Sub00253,0.645610157,0.632170793,0.640849748,0.648348299,0.65199993,0.644662703,0.626545352,0.614872607,0.622430001,0.632310026
Sub00254,0.640846784,0.623481495,0.616556175,0.625895346,0.634203411,0.616282043,0.597521754,0.587561791,0.599722612,0.613668231
Sub00255,0.661788299,0.637428824,0.642394902,0.649414517,0.662435045,0.654625388,0.634275238,0.62106363,0.621530472,0.624640082
Sub00256,0.676518134,0.666278816,0.668852681,0.679111201,0.679392799,0.66648828,0.647620091,0.637027158,0.648828919,0.663054589
Sub00257,0.698020596,0.681367065,0.679614207,0.675915503,0.675685479,0.667948866,0.662362777,0.654000717,0.657628675,0.675482214
Sub00258,0.64568257,0.635203514,0.655493858,0.665027316,0.671720091,0.664208756,0.653432908,0.64950961,0.653108004,0.660324936
Sub00259,0.668591651,0.650428075,0.655085928,0.661186383,0.667492312,0.6600343,0.641908322,0.631101546,0.635266606,0.643489981
Sub00260,0.634483798,0.631138701,0.642660737,0.644412129,0.64281479,0.629277584,0.612650991,0.602804383,0.612009416,0.619968618
Sub00261,0.673521807,0.654248202,0.660784097,0.667417272,0.67119218,0.661196071,0.639162532,0.638416762,0.642413864,0.661531352
Sub00262,0.698010549,0.679211422,0.682355987,0.690735992,0.69503586,0.674214085,0.654025179,0.642930752,0.649635341,0.671144477
Sub00263,0.638608987,0.623356549,0.623564629,0.634681853,0.645304069,0.632647573,0.61143534,0.596859785,0.600995747,0.604558863
Sub00264,0.610265099,0.594617337,0.596060905,0.606720276,0.612039519,0.594920023,0.581722563,0.578092674,0.598922024,0.617336134
Sub00265,0.653360626,0.644608207,0.662999519,0.680254593,0.681734111,0.665988739,0.647522047,0.639638403,0.648156358,0.650288735
Sub00266,0.652214561,0.651430007,0.660173953,0.661140586,0.672515962,0.665243331,0.652507611,0.64660901,0.656534342,0.664392316
Sub00267,0.682532784,0.665348582,0.665299713,0.670546935,0.668914506,0.650865201,0.627289728,0.61752309,0.626731571,0.635188623
Sub00268,0.659375029,0.66249686,0.662141897,0.66098471,0.659914866,0.643358929,0.627261589,0.621899194,0.638197847,0.635260228
Sub00269,0.616913827,0.613556205,0.639209267,0.658636673,0.65693444,0.63500086,0.621415271,0.62037432,0.637148476,0.660094624
Sub00270,0.59679489,0.590045796,0.590622323,0.594698563,0.603464407,0.585677335,0.577524171,0.573355435,0.599925727,0.626360373
