ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00024,0.15418403,0.20695793,0.243983371,0.255239171,0.231990652,0.214190342,0.218744362,0.232650104,0.234841649,0.237534892
Sub00025,0.13997008,0.193499895,0.225339527,0.234762996,0.232647395,0.217790621,0.218753522,0.232231692,0.237889755,0.237464398
Sub00026,0.148579048,0.199667931,0.232220768,0.248036475,0.244761177,0.238044868,0.23466429,0.234571876,0.229523221,0.233589515
Sub00027,0.14052044,0.180693888,0.219910074,0.242842193,0.24285935,0.224810484,0.216927248,0.213649191,0.222286114,0.225397876
Sub00028,0.14358246,0.197330579,0.233703158,0.251359646,0.251949357,0.23181009,0.223544053,0.219211435,0.225056775,0.227054014
Sub00029,0.179831571,0.230636117,0.252631535,0.252611362,0.228597855,0.22180438,0.223876969,0.230804636,0.237985919,0.240533075
Sub00030,0.151471477,0.203230816,0.23151697,0.242410773,0.247540466,0.232919409,0.231180735,0.231131807,0.227716793,0.231333817
Sub00031,0.157969184,0.211758459,0.240100579,0.250444999,0.249311845,0.242022252,0.228983043,0.224880448,0.232799275,0.230026874
Sub00032,0.157704609,0.214325472,0.248602214,0.255116362,0.248062435,0.234904934,0.226240242,0.229994522,0.236839542,0.236184029
Sub00033,0.142483208,0.195966953,0.231032651,0.245299448,0.24684289,0.219448179,0.208197029,0.210611848,0.214762074,0.227860689
Sub00034,0.159763837,0.206096953,0.230872145,0.244720285,0.235578632,0.209256166,0.212748222,0.224081889,0.234813496,0.246205513
Sub00035,0.15313417,0.202134154,0.234013985,0.241660016,0.240695674,0.232782324,0.222338405,0.219837325,0.224575921,0.228326963
Sub00036,0.158599799,0.207263227,0.234715068,0.251869667,0.242035811,0.226029812,0.222044042,0.222130743,0.228112275,0.236032001
Sub00037,0.126241098,0.181044944,0.221267359,0.235323333,0.240968999,0.220152922,0.205024787,0.196486709,0.198621859,0.206887442
Sub00038,0.169568462,0.225816782,0.246966433,0.255142118,0.245624135,0.225875126,0.223287859,0.239371659,0.253690126,0.255555051
Sub00039,0.15867108,0.194041788,0.21453835,0.237539605,0.247029932,0.231762427,0.221257986,0.222968024,0.234701696,0.246560235
Sub00040,0.171489509,0.21951424,0.244840586,0.242571747,0.225195582,0.214737014,0.21730312,0.218498617,0.210619071,0.18358065
Sub00041,0.153065418,0.203716191,0.227544699,0.227636394,0.225994667,0.207077502,0.205460164,0.212979696,0.228724496,0.232251459
Sub00042,0.1653922,0.215372961,0.247562211,0.262892161,0.269699007,0.255789745,0.244515172,0.243206547,0.244965909,0.246830501
Sub00043,0.165134015,0.213045468,0.238995304,0.246388427,0.253043909,0.242253791,0.24122361,0.247045955,0.259894901,0.255770265
Sub00044,0.148211686,0.199810732,0.234168531,0.243963091,0.227150245,0.213662281,0.216410623,0.220736025,0.225702828,0.234777548
Sub00045,0.138424012,0.178330515,0.213291625,0.22456179,0.229169575,0.213397161,0.206728888,0.208497526,0.220397503,0.220874474
Sub00046,0.191816199,0.231995287,0.248656309,0.253858649,0.23203319,0.219843988,0.227504814,0.237382099,0.24485912,0.250751301
Sub00047,0.156371756,0.201623602,0.236703039,0.255625231,0.247493254,0.232595472,0.231247481,0.238130563,0.238137139,0.24416931
Sub00048,0.169708278,0.222765332,0.242724589,0.259727295,0.259637068,0.236855069,0.23278973,0.234101177,0.238036875,0.248587644
Sub00049,0.151728404,0.201687556,0.230184027,0.250243465,0.261458378,0.238579314,0.227265893,0.220325419,0.224573849,0.229260447
Sub00050,0.15673704,0.204660742,0.231895741,0.250731458,0.248269467,0.230639816,0.222451593,0.232756197,0.238042263,0.240932783
Sub00051,0.186063767,0.234115156,0.26311182,0.259653632,0.231132189,0.225349187,0.224440086,0.22893257,0.237672462,0.242390556
Sub00052,0.151799731,0.206927333,0.239396831,0.25974479,0.252915702,0.222428618,0.206213739,0.200748637,0.214587337,0.231827646
Sub00053,0.162180129,0.21863955,0.24971513,0.252583996,0.25766281,0.232663998,0.213797917,0.216161385,0.221677468,0.222811887
Sub00054,0.17311228,0.220379181,0.235507385,0.240281888,0.254376846,0.239531889,0.233299772,0.23250723,0.231567867,0.228176308
Sub00055,0.159962319,0.205200565,0.22734545,0.240805903,0.234334243,0.225601765,0.224248611,0.224668867,0.235040179,0.2340597
Sub00056,0.171422701,0.217396654,0.228714402,0.233623985,0.225302632,0.211977859,0.214550623,0.215638952,0.220903309,0.223740358
Sub00057,0.171075444,0.206126106,0.229875847,0.231809865,0.203939207,0.195392732,0.202348049,0.210360969,0.212783716,0.208858009
Sub00058,0.170158987,0.21272226,0.234847662,0.250074297,0.232879715,0.217745311,0.218501585,0.219765565,0.219565956,0.212612256
Sub00059,0.155146539,0.195112937,0.226957557,0.237328095,0.240221837,0.220631757,0.210273342,0.213704393,0.216661276,0.224179409
Sub00060,0.17977593,0.232882167,0.254335105,0.268942336,0.244305512,0.224235092,0.22743479,0.244642779,0.248626662,0.25959907
